collect.....= UnicornPy_2020.05.30.0
device......= UN-2021.05.36
samplerate..= 250.000
channels....= 16
date........= 2022-07-25T14:07:23.241906
filename....= recordeddata_thread
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-111.401,-115.067,-104.874,-107.914,-111.043,-99.421,-104.785,-104.696,-0.011,0.893,-0.425,-0.763,0.427,0.549,73.333,212.000
-111.401,-114.799,-104.964,-108.182,-111.401,-99.331,-104.964,-104.517,-0.010,0.893,-0.428,-0.732,0.427,0.488,73.333,213.000
-111.491,-114.620,-105.053,-108.004,-111.401,-99.421,-104.785,-104.338,-0.013,0.894,-0.428,-0.671,0.397,0.641,73.333,214.000
-111.401,-114.620,-105.232,-107.914,-111.401,-99.599,-104.517,-104.338,-0.012,0.895,-0.428,-0.763,0.336,0.610,73.333,215.000
-111.401,-114.799,-104.964,-107.825,-111.312,-99.599,-104.338,-104.338,-0.011,0.893,-0.430,-0.641,0.366,0.580,73.333,216.000
-111.401,-114.888,-104.964,-107.825,-111.222,-99.331,-104.427,-104.517,-0.009,0.894,-0.428,-0.610,0.427,0.519,73.333,217.000
-111.401,-114.977,-105.143,-107.825,-111.222,-99.421,-104.338,-104.338,-0.011,0.895,-0.426,-0.610,0.397,0.519,73.333,218.000
-111.491,-114.977,-104.964,-107.914,-111.133,-99.242,-104.249,-104.427,-0.009,0.896,-0.426,-0.641,0.366,0.549,73.333,219.000
-111.401,-114.888,-104.964,-107.646,-111.043,-99.152,-104.070,-104.606,-0.011,0.895,-0.423,-0.580,0.336,0.549,73.333,220.000
-111.401,-114.799,-104.964,-107.825,-111.222,-99.331,-104.070,-104.427,-0.010,0.894,-0.426,-0.519,0.336,0.519,73.333,221.000
-111.401,-114.977,-104.696,-107.735,-111.312,-99.331,-104.159,-104.338,-0.011,0.892,-0.424,-0.610,0.397,0.580,73.333,222.000
-111.401,-115.067,-104.785,-107.735,-111.222,-99.331,-104.159,-104.249,-0.010,0.892,-0.426,-0.641,0.427,0.549,73.333,223.000
